YEAR,GEOEMTRIES_KEEP,GEOEMTRIES_NEW,ATTRIBUTES_HIGH_KEEP,ATTRIBUTES_HIGH_NEW,ATTRIBUTES_LOW_KEEP,ATTRIBUTES_LOW_NEW,ATTRIBUTES_CATEG_KEEP,ATTRIBUTES_CATEG_NEW
2002,0,44366,0,44366,0,44366,0,44366
2003,43613,521,0,44134,5096,39038,43012,1122
2004,43925,88,0,44013,0,44013,39899,4114
2005,43709,174,901,42982,4619,39264,41620,2263
2006,43756,73,1122,42707,41936,1893,42398,1431
2007,43687,54,993,42748,41090,2651,40448,3293
2009,8607,34446,488,42565,39924,3129,0,43053
2009.2,43351,62,34088,9325,43032,381,43182,231
2010,43302,56,1163,42195,42292,1066,42403,955
2010.2,43201,61,40900,2362,42367,895,0,43262
2011,43250,26,702,42574,42862,414,42906,370
2011.2,43154,43,30244,12953,40658,2539,42805,392
2012,43071,53,4752,38372,42058,1066,42641,483
2012.2,43016,55,37042,6029,42688,383,42374,697
2013,42970,46,2304,40712,0,43016,40426,2590
2013.2,42857,61,34309,8609,42265,653,42359,559
2014,42765,63,774,42054,41781,1047,42213,615
2014.2,42740,50,33261,9529,41344,1446,41065,1725
2015,42686,47,604,42129,41780,953,42115,618
2016,42464,91,511,42044,37496,5059,39558,2997
2016.2,42626,21,40125,2522,42233,414,0,42647
2017,42489,51,540,42000,40075,2465,41495,1045
