POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Building_Constructed,Public_Space_Type,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required,Amenities_Required,Other_Required,Permitted_Amenities,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
K010001,Brooklyn,3,1,334,WALLABOUT STREET,11206,"334 WALLABOUT STREET, Brooklyn, NY 11206",2265,14,Pfizer Sites Development,,Under Construction,Under Construction,Public Access Area,"Harrison Realty, LLC",,,,,,,,None,40.700743,-73.949289,998216,194677
K010002,Brooklyn,3,1,25,KENT AVENUE,11249,"25 KENT AVENUE, Brooklyn, NY 11249",2282,1,,,Completed,Completed,Public Plaza,,,,,,,,,Full/Partial,40.722954,-73.957804,995777,202828
K010003,Brooklyn,3,1,316,KENT AVENUE,11249,"316 KENT AVENUE, Brooklyn, NY 11249",2414,1,Domino Sugar Factory,,,,Public Access Area,,,,,,,,,Full/Partial,40.714905,-73.968108,993347,199348
K020001,Brooklyn,3,2,130,LIVINGSTON STREET,11201,"130 LIVINGSTON STREET, Brooklyn, NY 11201",163,1,Livingston Plaza,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place",1991,Completed,Plaza,Cohen Brothers,Murphy/Jahn Architects,Murphy/Jahn Architects,Plaza 19201.00 sf,Plaza: 24 Hours,"Plaza: Lighting; Plaza: Litter Receptacles; Plaza: Other Required (decorative pavement near intersection of Boerem Place and Livingston Street); Plaza: Planting (10 grade-level planting beds, 9 raised planters); Plaza: Seating (6 benches); Plaza: Trees on Street (5 along Livingston Street)",decorative pavement near intersection of Boerem Place and Livingston Street,,Full/Partial,40.690409,-73.988771,987364,190811
K020002,Brooklyn,3,2,350,JAY STREET,11201,"350 JAY STREET, Brooklyn, NY 11201",140,7501,Renaissance Plaza,West side of Jay Street between Willoughby Street and Tech Place,1998,Completed,Urban Plaza,Muss Development Company,William B. Tabler Architects,William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003),Urban Plaza 28805.00 sf,Urban Plaza: 24 Hours,"Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (14.4 cubic feet required, a minimum of 20 cf provided); Urban Plaza: Planting; Urban Plaza: Plaque/Sign; Urban Plaza: Retail Frontage (14% of building frontage); Urban Plaza: Seating (420 linear feet); Urban Plaza: Trees on Street (at minimum one tree per 25 feet along Adams Street); Urban Plaza: Trees within Space (32 required, 72 provided)",,"Urban Plaza: Other Permitted (North Terrace will have the ability to accommodate lunch vendor cart; ""planter/sculpture area"" on eastern end of through-block section of Urban Plaza)",Full/Partial,40.693812,-73.987992,987580,192051
K020003,Brooklyn,3,2,1,METROTECH CENTER,11201,"1 METROTECH CENTER, Brooklyn, NY 11201",147,4,,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street",1990,Completed,Commons and Public Areas,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,Commons and Public Areas 0.00 sf,"Commons and Public Areas: 24 Hours (except Thanksgiving, Christmas, and New Years)","Commons and Public Areas: Artwork (The Commons: sculpture pedestal); Commons and Public Areas: Drinking Fountain (The Commons: 1); Commons and Public Areas: Lighting (The Commons: 32 post lanterns; Flatbush Court: 10 post lanterns; Jay Plaza: 5 post lanterns; Myrtle Promenade: 30 post lanterns, 2 wall bracket lights; Project Perimeter: 34 post lanterns; Public Areas in arcades: pendant lanterns); Commons and Public Areas: Litter Receptacles (The Commons: 14; Flatbush Courth: 3; Jay Plaza: 2; Myrtle Promenade: 15; Project Perimeter: 26); Commons and Public Areas: Other Required (Jay Plaza: newsstand, trellis; security); Commons and Public Areas: Planting (The Commons: 2 grass lawns; Flatbush Court: 1 large seasonal display planter next to Flatbush Court; Jay Plaza: 3 large planters with seasonal flower displays; Myrtle Promenade: larger central seasonal display planter, 5 smaller seasonal planters, myrtle as ground cover); Commons and Public Areas: Plaque/Sign (6); Commons and Public Areas: Seating (The Commons: 36 benches; Jay Plaza: 1 bench; Myrtle Promenade: 108 benches; Project Perimeter: 38 benches); Commons and Public Areas: Subway (Jay Plaza: stair access to subway station); Commons and Public Areas: Trees on Street (counted in ""Trees within Space""); Commons and Public Areas: Trees within Space (The Commons: 96 honey locust, 22 sargent cherry, 28 red maple, 2 saucer magnolia; Flatbush Court: 16 saucer magnolia; Jay Plaza: 14 london plane; Myrtle Promenade: 44 london plane; Project Perimeter: 204 trees including 75 red maple, 126 london plane, and 3 sargent cherry)","Jay Plaza: newsstand, trellis; security",,Full/Partial,40.693222,-73.986719,987933,191836
K020006,Brooklyn,3,2,111,LIVINGSTON STREET,11201,"111 LIVINGSTON STREET, Brooklyn, NY 11201",266,1,,Northwest corner of Livingston Street and Boerem Place,1969,Completed,Plaza,,,,Plaza 9920.00 sf,Plaza: 24 Hours,Plaza: None,,,Full/Partial,40.691476,-73.989806,987077,191200
K020007,Brooklyn,3,2,230,ASHLAND PLACE,11217,"230 ASHLAND PLACE, Brooklyn, NY 11217",2095,7502,Forte,North of Fulton Street between Ashland Place and Rockwell Place,2007,Completed,Residential Plaza,The Clarett Group,FXFowle Architects,Sullivan Group Design,Residential Plaza 3960.00 sf,Residential Plaza: 24 Hours,"Residential Plaza: Bicycle Parking (9 spaces required, 12 spaces provided); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (8.28 cubic feet required, 2 litter receptacles at 5 cf each provided); Residential Plaza: Other Required (adjacent wall of Brooklyn Academy of Music covered in planting); Residential Plaza: Planting (621 sf required, 833 sf provided); Residential Plaza: Plaque/Sign (1 required, 2 provided); Residential Plaza: Seating (139 linear feet including 14 lf with backs required, 148.22 lf including 91.82 lf of seatwall and 56.4 lf benches with backs provided); Residential Plaza: Trees on Street (5 (no computation shown)); Residential Plaza: Trees within Space (8 required, 11 provided)",adjacent wall of Brooklyn Academy of Music covered in planting,,Full/Partial,40.688253,-73.978636,990230,190089
K020008,Brooklyn,3,2,343,GOLD STREET,11201,"343 GOLD STREET, Brooklyn, NY 11201",2049,2,Avalon Fort Greene,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,2008,Completed,Residential Plaza,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,Residential Plaza 17475.00 sf,Residential Plaza: 24 Hours,"Residential Plaza: Bicycle Parking (Primary Space: 25 spaces required, 13 bicycle racks with 2 spaces per rack provided); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (Primary Space: 25 cubic feet required, 7 receptacles at 5.2 cf (36 cf total) provided; Usable Residual Space: 13 cf required, 4 receptacles at 5.2 cf each (20 cf total) provided); Residential Plaza: Planting (Primary Space: 1,870 sf required, 5,925 sf provided; Usable Residual Space: 935 sf required, 2,648 sf provided); Residential Plaza: Plaque/Sign (2); Residential Plaza: Seating (Primary Space: 415.46 linear feet required, 417 lf including 7 two-seat benches (28 lf), 23 three-seat benches (138 lf) and 251 lf of seatwall provided; Usable Residual Space: 208 lf required, 227 lf including 5 two-seat benches (20 lf), 16 three-seat benches (96 lf), and 111 lf of seatwall provided); Residential Plaza: Trees on Street (26 required, 25 provided (1 tree can't be planted due to below grade conditions)); Residential Plaza: Trees within Space (Primary Space: 19; Usable Residual Space: 6 required, 13 provided)",,,Unknown,40.694078,-73.982885,988996,192148
K020009,Brooklyn,3,2,203,JAY STREET,11201,"203 JAY STREET, Brooklyn, NY 11201",107,1,,Building located on the east side of Jay Street between Concord Street and Nassau Street,Under Construction,Under Construction,Public Plaza,,,Scape Landscape Architecture PLLC,Public Plaza 10405.00 sf,Public Plaza: 24 Hours,"Public Plaza: Artwork; Public Plaza: Bicycle Parking (Parking for 6 bikes provided); Public Plaza: Drinking Fountain (1); Public Plaza: Food Service; Public Plaza: Litter Receptacles (6); Public Plaza: Planting (2,166 sf of planting provided.); Public Plaza: Plaque/Sign (Jay Street: 2 entry plaques; Concord Street: 4 entry plaques); Public Plaza: Seating (349.46 LF of seating provided including fixed benches, planter ledge, seatwall and 120 sf of movable seating.); Public Plaza: Trees on Street (16); Public Plaza: Trees within Space (31 total trees provided)",,,Full/Partial,40.698099,-73.986566,987860,193622
